Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/pt,FH Wnr/Pt,BH Wnr/Pt,Vs Ratio,Vs Wnr/Pt,Vs UFE/Pt
2024 Wuhan SF,L vs Sabalenka,31,42,0.7,15.7,21.2,27,21,1.3,16.1,12.5,7.7,7.7,0.9,16.7,18.7
2024 Wuhan QF,W vs Linette,19,16,1.2,16.0,13.4,17,8,2.1,15.6,7.3,8.3,7.3,0.5,10.1,20.2
2024 Wuhan R16,W vs Kostyuk,10,6,1.7,11.4,6.8,8,6,1.3,9.9,7.4,4.9,4.9,0.4,11.4,26.1
2024 Beijing F,W vs Muchova,25,12,2.1,25.0,12.0,19,6,3.2,22.9,7.2,14.5,8.4,0.5,14.0,31.0
2024 Beijing SF,W vs Badosa,38,41,0.9,18.1,19.5,32,30,1.1,17.5,16.4,10.4,7.1,0.5,11.0,20.5
2024 US Open R16,L vs Navarro,14,60,0.2,7.4,31.9,12,41,0.3,7.3,25.0,4.3,1.8,0.6,10.6,18.6
2024 US Open R32,W vs Svitolina,21,35,0.6,12.0,20.0,19,31,0.6,11.9,19.4,6.3,5.0,0.7,14.3,20.6
2024 US Open R64,W vs Maria,25,25,1.0,22.1,22.1,24,16,1.5,25.3,16.8,16.8,8.4,0.7,10.6,15.0
2024 US Open R128,W vs Gracheva,16,21,0.8,15.7,20.6,6,15,0.4,7.3,18.3,2.4,4.9,0.2,4.9,24.5
2024 Toronto R16,L vs Shnaider,12,36,0.3,10.8,32.4,11,28,0.4,11.3,28.9,5.2,6.2,0.6,9.0,15.3
2024 Paris Olympics R16,L vs Vekic,10,22,0.5,6.9,15.2,10,15,0.7,7.7,11.5,3.8,3.8,1.1,24.1,22.1
2024 Wimbledon R16,L vs Navarro,12,25,0.5,10.4,21.7,9,22,0.4,8.3,20.2,3.7,4.6,0.6,8.7,13.9
2024 Wimbledon R32,W vs Kartal,16,15,1.1,17.8,16.7,11,11,1.0,14.1,14.1,3.8,10.3,0.3,6.7,23.3
2024 Wimbledon R64,W vs Todoni,13,16,0.8,12.9,15.8,11,14,0.8,11.8,15.1,4.3,5.4,0.3,6.9,22.8
2024 Wimbledon R128,W vs Dolehide,15,15,1.0,15.8,15.8,13,14,0.9,14.3,15.4,7.7,5.5,0.2,5.3,23.2
2024 Roland Garros SF,L vs Swiatek,28,39,0.7,22.2,31.0,25,35,0.7,21.0,29.4,9.2,10.9,0.5,7.9,15.9
2024 Roland Garros QF,W vs Jabeur,21,28,0.8,11.4,15.1,18,24,0.8,10.4,13.9,5.8,4.0,0.8,16.2,21.6
2024 Roland Garros R16,W vs Cocciaretto,19,15,1.3,22.6,17.9,16,10,1.6,21.3,13.3,12.0,8.0,0.4,8.3,22.6
2024 Rome SF,L vs Swiatek,18,27,0.7,13.0,19.6,15,23,0.7,11.6,17.8,5.4,6.2,1.9,18.8,10.1
2024 Stuttgart QF,L vs Kostyuk,22,54,0.4,9.4,23.2,19,46,0.4,9.0,21.8,5.2,3.3,0.6,14.6,24.0
2024 Miami R16,L vs Garcia,15,28,0.5,10.3,19.3,7,25,0.3,5.3,18.9,1.5,3.8,0.7,17.2,24.8
2024 Miami R32,W vs Dodin,21,12,1.8,20.6,11.8,15,9,1.7,18.3,11.0,11.0,7.3,0.4,12.7,31.4
2024 Miami R64,W vs Podoroska,24,25,1.0,21.1,21.9,19,19,1.0,18.6,18.6,11.8,5.9,0.4,10.5,23.7
